"","species","duration","peak","peak2","peak3","trough","trough2","peakToPeak2","peakToPeak3","peak2ToPeak3","Q_10dB","Q_3dB","centerHz_10dB","centerHz_3dB","fmin_10dB","fmax_10dB","fmin_3dB","fmax_3dB","BW_10dB","BW_3dB","ici"
"11","Narwhal",43.41,43.41,49.36,41.24,49.54,37,15.09,14.48,16.9,3.16,15.83,44.8,43.07,33.37,56.23,40.25,45.88,22.85,5.63,0.11
"12","Narwhal",37.91,37.91,46.57,28.01,42.55,27.68,22.84,8.87,15.05,3.07,9.76,38.43,37.58,31.05,45.81,35.11,40.06,14.75,4.96,0.11
"13","Narwhal",38.77,38.77,45.78,41.61,44.53,37.31,17.86,16.15,19.68,3.29,13.91,41.21,39.07,30.49,51.94,36.48,41.66,21.45,5.18,0.09
"14","Narwhal",35.72,35.72,47.36,39.58,44.54,34.42,18.02,14,13.94,4.92,18.48,36.06,35.74,30.67,41.45,33.92,37.57,10.78,3.65,0.08
"15","Narwhal",44.91,44.91,53.26,44.35,52.17,41.24,19.11,14.29,18.24,2.27,13.95,49.18,44.57,27.96,70.41,39.43,49.72,42.45,10.28,0.24
"16","Narwhal",46.64,46.64,52,42.86,46.1,42.13,19.57,12.98,17.65,2.68,11.56,45.34,44.91,29.78,60.91,39.58,50.24,31.13,10.66,0.02
"17","Narwhal",47.19,47.19,52.59,44.58,50.11,45.71,19.42,15.25,19.03,2.61,10.52,52.88,48.4,35.3,70.46,43.5,53.31,35.16,9.81,0.02
"18","Narwhal",37.97,37.97,50.84,41.09,49.44,38.04,19.61,13.99,16.66,2.2,11.15,41.61,38.52,30.68,52.53,36.36,40.69,21.85,4.33,0.11
"19","Narwhal",48.31,48.31,51.97,55.07,57.73,42.47,16.49,16.71,30.33,4.45,34.8,47.61,48.42,38.56,56.67,47.45,49.4,18.12,1.94,0.09
"20","Narwhal",35.5,35.5,47.06,38.56,41.6,39.82,25.04,13.7,14.98,2.37,12.55,39.27,36.96,27.4,51.14,34.74,39.17,23.74,4.44,0.1
"21","Narwhal",40.64,40.64,48.64,45.6,46.42,45.98,23.34,15.55,18.28,2.88,14.97,44.15,40.52,35.5,52.81,38.74,42.3,17.31,3.56,0.14
"22","Narwhal",38.4,38.4,51.38,36.76,47.6,38.67,24.89,10.8,19.51,2.14,9.26,40.52,37.77,29.55,51.49,35.47,40.06,21.94,4.59,0.18
